 comment_id | article_id |    author    |                                                                                                                                                                                       body                                                                                                                                                                                       |     created_at      | votes 
         30 |         15 | jessjelly    | Et et esse magni qui minus quia adipisci dignissimos. Rerum ab sit voluptatum sequi aspernatur et.                                                                                                                                                                                                                                                                               | 2020-08-25 23:10:00 |    14
         31 |          1 | weegembump   | Sit sequi odio suscipit. Iure quisquam qui alias distinctio eos officia enim aut sit. Corrupti ut praesentium ut iste earum itaque qui. Dolores in ab rerum consequuntur. Id ab aliquid autem dolore.                                                                                                                                                                            | 2020-09-26 17:16:00 |    11
         32 |         26 | happyamy2016 | Occaecati distinctio et maiores atque. Rerum aut vel iste beatae mollitia commodi. Cumque quia illum. Hic rerum sed.                                                                                                                                                                                                                                                             | 2020-01-02 14:18:00 |    16
         33 |          1 | cooljmessy   | Explicabo perspiciatis voluptatem sunt tenetur maxime aut. Optio totam modi. Perspiciatis et quia.                                                                                                                                                                                                                                                                               | 2019-12-31 21:21:00 |     4
         34 |         27 | jessjelly    | Omnis dolores sit. Suscipit dolore quia quia quia qui sunt error. Velit dolores eum cupiditate officiis minima quaerat. Fugiat occaecati magnam distinctio. Ut quia maxime adipisci dolorem qui nesciunt et voluptas.                                                                                                                                                            | 2020-11-08 21:14:00 |    13
         35 |         19 | happyamy2016 | Accusamus error recusandae iure. Omnis ab aut id. Nihil perspiciatis aut unde recusandae voluptatum placeat.                                                                                                                                                                                                                                                                     | 2020-06-07 08:10:00 |    -2
         36 |         28 | jessjelly    | Debitis exercitationem numquam unde quo illo. Iste rerum rerum non accusantium voluptatibus adipisci expedita expedita adipisci. Minima quae velit et ea eveniet. Vero quis itaque. Aliquid facilis dolores consequatur ea amet magni aliquid.                                                                                                                                   | 2020-05-26 19:06:00 |    17
         37 |         23 | tickle122    | Ut odit ad repudiandae laudantium facilis pariatur aliquid. Pariatur quidem voluptatibus recusandae in consequatur beatae sint. Aut error ratione culpa ipsam autem saepe vel sit enim. Adipisci voluptas sit sed perferendis ipsum molestiae. Sit perferendis veritatis illo et facilis eos libero error. Repellendus ea dolores deserunt inventore.                            | 2020-09-18 15:13:00 |    12
         38 |          8 | jessjelly    | Ipsam quod dolor harum alias porro dignissimos vero et. Quia accusantium qui ratione eius qui.                                                                                                                                                                                                                                                                                   | 2020-06-16 07:07:00 |     7
         39 |         31 | grumpy19     | Et veniam blanditiis fuga rem rem officiis debitis rerum. Est repudiandae tempora autem harum omnis et. Et consectetur sed assumenda asperiores amet quo eaque.                                                                                                                                                                                                                  | 2020-07-21 01:04:00 |    16
         40 |          7 | tickle122    | Et optio voluptatem sed reprehenderit quibusdam. Reprehenderit doloremque laboriosam. Vel est amet quia dolor rerum consequatur. Distinctio tenetur dolores. Voluptates laboriosam repudiandae et quisquam ex. Dolorem quidem et.                                                                                                                                                | 2020-02-19 05:15:00 |     5
         41 |         29 | happyamy2016 | Incidunt temporibus ipsam fuga voluptatem occaecati vel corporis. Consectetur laudantium tenetur ratione cumque. Molestiae esse non minima beatae id consequuntur voluptas optio. Pariatur nesciunt sed eum architecto a nemo dignissimos dignissimos. Dolores dicta eum voluptatem ea quas soluta sunt mollitia optio.                                                          | 2020-10-19 03:15:00 |     1
         42 |         31 | jessjelly    | Harum odit sed doloremque eos voluptates vero ipsa odio eos. Velit et voluptatum accusantium. Eligendi deserunt sunt optio est hic nisi reprehenderit. Quasi et delectus facere modi.                                                                                                                                                                                            | 2020-02-12 08:26:00 |    16
         43 |          8 | grumpy19     | Ipsam quis ad consequatur iure voluptas accusantium voluptatem unde. Cumque omnis mollitia natus nemo deleniti rerum enim cumque aut. Quod quis est fuga.                                                                                                                                                                                                                        | 2020-01-18 08:17:00 |    -2
         44 |          1 | grumpy19     | Error est qui id corrupti et quod enim accusantium minus. Deleniti quae ea magni officiis et qui suscipit non.                                                                                                                                                                                                                                                                   | 2020-06-15 16:13:00 |     4
         45 |          9 | cooljmessy   | Sint doloribus expedita non sed fuga aliquid vero. Amet consectetur eos eum. Tempora error velit rerum vitae voluptatem voluptatibus consequuntur voluptatibus ea. Et vitae et pariatur est molestias. Nobis est harum debitis rem accusantium est ipsa sed. Voluptatem beatae at beatae.                                                                                        | 2020-09-09 18:11:00 |    10
         46 |         26 | weegembump   | Non sunt quos aut facere. Corporis molestiae aut soluta aut rerum animi voluptatibus.                                                                                                                                                                                                                                                                                            | 2020-10-05 07:05:00 |    -3
         47 |         10 | happyamy2016 | Ea quod sunt nihil mollitia qui laboriosam eaque quas accusantium. Eveniet exercitationem esse dolor autem repellat laborum voluptatibus alias repellendus. Magni nostrum ut ea molestiae. Et ut at quasi aut.                                                                                                                                                                   | 2020-01-13 09:01:00 |     0
         48 |         34 | jessjelly    | Eaque fugiat est veniam ex praesentium et saepe molestias non. Est dolore et sint consequuntur.                                                                                                                                                                                                                                                                                  | 2020-03-08 20:02:00 |    12
         49 |         31 | cooljmessy   | Omnis dolor rerum culpa est ducimus totam voluptatibus id. Consequuntur vel cupiditate asperiores. Eos non molestiae accusamus esse excepturi animi vel animi.                                                                                                                                                                                                                   | 2020-11-05 18:26:00 |    13
         50 |         34 | cooljmessy   | Et sed quia repudiandae aut error ut. Sequi voluptas error ut quibusdam officia quis. Sapiente est rem. Culpa molestiae omnis vel. Explicabo ea velit ipsa quasi autem error culpa quasi. Nulla ab omnis optio non voluptatem cumque.                                                                                                                                            | 2020-03-22 11:15:00 |     0
         51 |          3 | grumpy19     | Eius dolor ipsa eaque qui sed accusantium est tenetur omnis. Eligendi necessitatibus sunt voluptate occaecati et quis consequuntur aut. Maxime nihil ut quia culpa.                                                                                                                                                                                                              | 2020-01-14 03:12:00 |    -3
         52 |          1 | jessjelly    | Consectetur deleniti sed. Omnis et dolore omnis aspernatur. Et porro accusantium. Tempora ullam voluptatum et rerum.                                                                                                                                                                                                                                                             | 2020-07-07 09:14:00 |    10
         53 |         29 | happyamy2016 | Tempore itaque aperiam nostrum molestiae et veniam. Dolores dignissimos beatae quia quam impedit modi recusandae. Modi quaerat rerum itaque sint modi. Aperiam blanditiis officia qui odio veniam et. Sit accusantium ut.                                                                                                                                                        | 2020-02-05 15:13:00 |    10
         54 |         34 | grumpy19     | Possimus exercitationem unde temporibus id eos officiis. Qui veniam blanditiis porro omnis rerum. Vel iste nisi voluptatem autem illum aperiam velit.                                                                                                                                                                                                                            | 2020-09-16 23:12:00 |     8
         55 |          6 | jessjelly    | Ut et libero reiciendis. Tenetur quibusdam veniam in atque corrupti excepturi tenetur qui et. Qui ut autem minus aut explicabo in cumque dolorum. Voluptatem est perferendis velit. Eaque doloremque asperiores error.                                                                                                                                                           | 2020-01-16 23:20:00 |    -3
         56 |         10 | weegembump   | Ullam ad aliquam labore sint quia quo autem. Earum accusamus mollitia eum consectetur est doloremque corrupti aliquam. Soluta maxime rerum ipsum molestiae id temporibus tempore.                                                                                                                                                                                                | 2020-08-07 15:20:00 |     4
         57 |         34 | happyamy2016 | Et aliquam consequatur ea sunt et. Maxime aut nobis voluptatem eos facilis vero incidunt delectus. Atque quaerat id aut tempore non hic hic sed. Nemo natus culpa nesciunt. Beatae quod est omnis hic aliquam accusantium dolorum natus. Totam voluptatem incidunt a repudiandae ut.                                                                                             | 2020-04-22 18:05:00 |     5
         58 |         16 | jessjelly    | Dicta et doloremque rerum quod dolorem mollitia exercitationem quia. Quas quis quam recusandae occaecati sit voluptas. Et ut voluptatibus est eos. Placeat consectetur non nisi dolores ea non unde sit aperiam.                                                                                                                                                                 | 2020-04-01 11:07:00 |    12
         59 |         32 | cooljmessy   | Incidunt maiores exercitationem. Non illo non recusandae omnis praesentium architecto. Molestiae vero quia occaecati. Et sed magni blanditiis quis quia consequatur dolores nulla nisi. A omnis velit voluptatem.                                                                                                                                                                | 2020-11-14 01:07:00 |     6
         60 |          7 | tickle122    | Aut optio perferendis praesentium fugiat. Vel similique non eveniet. Repellat molestiae ipsum voluptates.                                                                                                                                                                                                                                                                        | 2020-10-07 04:19:00 |    19
         61 |         31 | cooljmessy   | Quos deserunt ut doloremque animi. Error ipsum assumenda aliquam tempore est et suscipit eveniet necessitatibus. Sequi illo dolor quia incidunt voluptates sint dolore. Aut impedit dolores.                                                                                                                                                                                     | 2020-03-07 16:04:00 |    13
         62 |         19 | grumpy19     | Nesciunt pariatur autem dolor. Quas et nostrum occaecati qui dolores. Et cumque nostrum aut. Aut doloribus aut modi repellendus maiores quia laudantium doloremque. Qui vitae laudantium sunt ut iusto. Et aut ipsam iste.                                                                                                                                                       | 2020-01-06 02:15:00 |     1
         63 |          2 | jessjelly    | Est pariatur quis ipsa culpa unde temporibus et accusantium rerum. Consequatur in occaecati aut non similique aut quibusdam. Qui sunt magnam iure blanditiis. Et est non enim. Est ab vero dolor.                                                                                                                                                                                | 2020-08-12 23:10:00 |    -1
         64 |          6 | grumpy19     | Ad qui ut enim qui numquam quis. Reprehenderit rem non nulla dolor aut totam corporis illo. Et ea maxime consequuntur nihil delectus dolores qui in aliquam. Ut et eius id nesciunt necessitatibus beatae quo. Est qui provident officia in dolor. Assumenda voluptas dolor.                                                                                                     | 2020-09-23 09:15:00 |    -5
         65 |          6 | weegembump   | Officia nihil harum saepe occaecati dolores inventore. Eos cum illo aut blanditiis eum.                                                                                                                                                                                                                                                                                          | 2020-10-19 00:05:00 |     4
         66 |         27 | weegembump   | Aperiam similique recusandae et rerum aut unde sed. Fuga voluptatem illum aut impedit excepturi. Et quaerat minima in veniam in maxime nam quia. Fugit nostrum ipsa ipsa est sunt quidem nostrum sit pariatur. Voluptas aspernatur ex.                                                                                                                                           | 2020-01-06 17:03:00 |    15
         67 |         27 | jessjelly    | Sapiente ut debitis qui sit autem dolores. Quis et consequatur eligendi dolorum quia quam odit qui. Quaerat ut sit fugit ut sint et sequi est.                                                                                                                                                                                                                                   | 2020-06-30 09:24:00 |     9
         68 |         20 | cooljmessy   | Voluptatibus harum illo occaecati itaque inventore. Alias dolores consequatur fugit id rerum repellat. Qui molestiae dolore quia.                                                                                                                                                                                                                                                | 2020-09-21 12:03:00 |     8
         69 |         23 | tickle122    | Totam et dolor magnam et voluptatum. A in adipisci.                                                                                                                                                                                                                                                                                                                              | 2020-08-14 13:08:00 |    -1
         70 |          4 | grumpy19     | Et ullam nihil repudiandae facere sunt cupiditate cum. Doloremque voluptatem rerum qui error omnis. Dolorum numquam dolorum voluptas ad.                                                                                                                                                                                                                                         | 2020-03-05 06:04:00 |     2
         71 |         30 | cooljmessy   | Recusandae dolorem consequatur non a accusantium ea. Ut repudiandae doloremque expedita perspiciatis voluptas. Optio adipisci consequuntur. Reprehenderit veritatis eos voluptatem sed alias voluptatem atque. Eos repudiandae enim quos tenetur eos deserunt perspiciatis aut velit.                                                                                            | 2020-06-10 10:04:00 |     7
         72 |         31 | jessjelly    | Cumque qui eius consequatur pariatur reprehenderit at rem nobis. Consequatur id qui iste voluptatem iste esse eligendi. Et sint porro alias architecto dolores.                                                                                                                                                                                                                  | 2020-04-15 01:21:00 |     5
         73 |          4 | grumpy19     | Fugiat molestiae iure et qui consequatur expedita quia. Est sed repellat nesciunt nulla sit in dolor laudantium. Totam vero et quam. In numquam magnam voluptas itaque. Quisquam vel vitae doloribus vel id laboriosam quibusdam.                                                                                                                                                | 2020-01-24 07:01:00 |    16
         74 |          6 | cooljmessy   | Eius dolor qui ut eligendi. Vero et animi consequatur placeat repudiandae ex dolores qui magni. Omnis magnam rerum molestiae. Nihil rerum ipsa error quibusdam. Qui temporibus quia quia. Natus necessitatibus numquam deserunt quisquam distinctio soluta consequatur.                                                                                                          | 2020-11-04 21:21:00 |     3
         75 |         35 | jessjelly    | Quis iure rerum adipisci a porro ratione. Consequatur sequi ipsam esse ut ratione laudantium odio blanditiis fuga. Reprehenderit excepturi nihil beatae aut voluptate aliquid culpa animi.                                                                                                                                                                                       | 2020-06-06 21:16:00 |     2
         76 |         10 | grumpy19     | Expedita praesentium porro doloremque doloribus consequuntur dolorum. Consequatur asperiores veritatis et debitis autem et vel fugit. Earum placeat nemo sit.                                                                                                                                                                                                                    | 2020-05-10 21:11:00 |     0
         77 |          8 | tickle122    | Hic qui omnis qui sit deserunt velit labore commodi repellat. Minus voluptatum dolore libero voluptatem praesentium aut iusto harum. Consequatur sit quasi. Est ad minus inventore ut reiciendis. Quos incidunt rerum. Ut omnis in voluptatum nesciunt.                                                                                                                          | 2020-11-06 19:20:00 |    -2
         78 |         35 | happyamy2016 | Ab distinctio rerum enim ut illum. Vel deleniti placeat error eligendi. Sapiente provident hic rerum. Nihil nostrum corporis.                                                                                                                                                                                                                                                    | 2020-09-11 17:02:00 |     7
         79 |         20 | grumpy19     | Possimus adipisci et cupiditate rerum dolores provident. Vero est autem. Voluptatum nemo officia dolorem et a ipsa. Laboriosam doloremque aperiam.                                                                                                                                                                                                                               | 2020-11-19 10:05:00 |     7
         80 |         31 | cooljmessy   | Voluptatem voluptas unde. Quam tempore recusandae voluptatem similique iusto repudiandae et. Tenetur dolores possimus labore. Incidunt quae ipsa qui quas. Sunt suscipit aliquid vitae.                                                                                                                                                                                          | 2020-07-14 03:02:00 |    -5
         81 |          7 | weegembump   | Incidunt perferendis et eum. Odit aut eaque. Repudiandae et quia impedit quisquam dolore fugit. Magnam non magni qui molestias dolore sed facere blanditiis. Qui doloribus autem dolorum dolor aliquam. Tempora cum officia tempore.                                                                                                                                             | 2020-07-26 00:10:00 |    12
         82 |         11 | happyamy2016 | Facilis ipsam illum aut voluptatibus. Repudiandae cupiditate quo fugiat earum est ut autem repudiandae excepturi. Fuga voluptatem iusto ut. Nulla sequi culpa qui eaque. Architecto non veniam distinctio.                                                                                                                                                                       | 2020-08-19 08:08:00 |    -4
         83 |         24 | weegembump   | Velit in assumenda quo repudiandae qui eaque. Qui dolor ad iusto optio magnam suscipit.                                                                                                                                                                                                                                                                                          | 2020-04-08 22:01:00 |    -2
         84 |         13 | grumpy19     | Modi cum quo maxime sunt quia doloribus consequatur recusandae. Quam temporibus est non dolorem. Rerum dolorem nulla sed nam repellendus doloribus non accusantium. Id beatae est et a.                                                                                                                                                                                          | 2020-10-11 06:19:00 |     0
         85 |          1 | happyamy2016 | Assumenda sit est blanditiis asperiores est minima. Placeat sequi tenetur autem consequatur soluta molestiae. Incidunt neque labore et dolorem et vel possimus nemo quidem.                                                                                                                                                                                                      | 2020-08-23 02:14:00 |     0
         86 |          1 | tickle122    | Et explicabo dignissimos officia dolore rerum aliquam corrupti. Culpa corporis earum et earum officia a est atque at. Quidem quo recusandae delectus autem possimus blanditiis optio. Sed culpa culpa. Exercitationem nemo aspernatur alias ut qui.                                                                                                                              | 2020-10-04 02:03:00 |    14
         87 |         26 | grumpy19     | Explicabo cumque sequi aut. Sed minus et aut consequatur. Iste qui temporibus non corporis non. Laudantium tenetur quaerat repellendus. Neque ut qui sunt. Eaque sit fugit est ad molestiae.                                                                                                                                                                                     | 2020-03-09 18:19:00 |     6
         88 |          5 | weegembump   | Minus minus sit non fugiat sunt et nostrum aut et. Dignissimos qui nemo quos fuga qui temporibus occaecati aut. Explicabo dolor commodi officia nulla totam inventore.                                                                                                                                                                                                           | 2020-05-26 16:11:00 |    -3
         89 |          1 | cooljmessy   | Esse et expedita harum non. Voluptatibus commodi voluptatem. Minima velit suscipit numquam ea. Id vitae debitis aut incidunt odio quo quam possimus ipsum.                                                                                                                                                                                                                       | 2020-10-24 07:08:00 |     2
         90 |         36 | jessjelly    | Maxime error necessitatibus voluptatibus labore aliquid. Animi a maiores quo aut quia libero repellendus aut delectus. Illo dolorem sit eos at molestias sed. Sint quibusdam harum eos quidem praesentium corporis. Ut dolor aut consectetur nisi deserunt.                                                                                                                      | 2020-01-16 00:00:00 |     2
         91 |         26 | happyamy2016 | Quo aut ut quaerat quia laudantium nemo. Et est non sed dolor cupiditate voluptatem quia et officia.                                                                                                                                                                                                                                                                             | 2020-05-17 05:18:00 |     5
         92 |          9 | cooljmessy   | Aut doloremque explicabo id. Deleniti libero in dolore sit ea voluptatem ipsa.                                                                                                                                                                                                                                                                                                   | 2020-06-03 01:02:00 |     0
         93 |         36 | cooljmessy   | Impedit impedit similique quaerat sit. Fugit et aliquid quae doloremque dolores amet velit. Quia cupiditate ipsa ad aliquid minus voluptatem eaque.                                                                                                                                                                                                                              | 2020-04-25 12:25:00 |     0
         94 |         29 | weegembump   | Voluptatum aut facilis odit sint. Iste ab ut mollitia aut odio. Similique aut a ut est impedit. Similique dolorum possimus ipsum voluptatem iste non commodi placeat quia. Vero aperiam eum voluptatem aut sed totam dicta suscipit.                                                                                                                                             | 2020-04-15 07:17:00 |    -4
         95 |         21 | grumpy19     | Praesentium pariatur a nisi. Minima eius est saepe aut.                                                                                                                                                                                                                                                                                                                          | 2020-01-22 17:04:00 |    11
         96 |         23 | weegembump   | Eos exercitationem dolorem autem autem nesciunt voluptas molestiae quas. Ut id qui. Quis quia consequatur veritatis magnam autem. Corrupti corporis illo in in est aperiam.                                                                                                                                                                                                      | 2020-09-07 09:22:00 |    11
         97 |         35 | weegembump   | Enim sunt nam rerum quidem. Quod quia aliquam numquam et laboriosam doloribus iusto et. Numquam quae quis hic maiores. Sed quos et dolore esse cumque consequatur blanditiis placeat omnis. Omnis qui magni explicabo.                                                                                                                                                           | 2020-02-20 07:13:00 |    19
         98 |         17 | grumpy19     | Delectus nostrum autem. Dolore est id veniam maxime aliquid omnis nam cupiditate consequatur. Eveniet similique et voluptatem voluptatem illo. Quam officiis aut molestias hic est omnis. Dolor enim dolores. Quo explicabo reprehenderit reprehenderit nostrum magni in.                                                                                                        | 2020-02-07 02:23:00 |    -3
         99 |         19 | happyamy2016 | Reiciendis enim soluta a sed cumque dolor quia quod sint. Laborum tempore est et quisquam dolore. Qui voluptas consequatur cumque neque et laborum unde sed. Impedit et consequatur tempore dignissimos earum distinctio cupiditate.                                                                                                                                             | 2020-09-18 19:05:00 |    17
        100 |         29 | weegembump   | Corporis magnam placeat quia nulla illum nisi. Provident magni aut et earum illo labore aperiam. Dolorem ipsum dignissimos est ex. Minima voluptatibus nihil commodi veritatis. Magnam aut suscipit dignissimos nostrum ea.                                                                                                                                                      | 2020-06-18 13:10:00 |     3
        101 |         35 | grumpy19     | Accusantium aliquid voluptatem cum rerum perspiciatis rem. Quia et rem nobis.                                                                                                                                                                                                                                                                                                    | 2020-02-01 01:10:00 |     0
        102 |          2 | jessjelly    | Quia quos adipisci sint expedita voluptatem id ut at accusantium. Et ex itaque recusandae aut quo. Quia quam similique eum quidem iusto. Aspernatur ducimus vitae vel natus doloribus qui id. Excepturi voluptatem qui quia sit qui eveniet voluptatem. Fugit itaque libero quibusdam sunt.                                                                                      | 2020-09-14 12:13:00 |    10
        103 |          6 | grumpy19     | Blanditiis alias consectetur nisi autem et in dicta inventore. Velit consectetur eos.                                                                                                                                                                                                                                                                                            | 2020-03-12 06:09:00 |    10
        104 |         14 | grumpy19     | Nihil laborum qui quidem quibusdam aut deserunt laboriosam. Enim ipsa corporis. Nobis ipsa deleniti natus nulla qui ut vero sequi. Perferendis eveniet eligendi est itaque repellat. Illum hic nesciunt omnis veniam recusandae architecto et. Cumque qui mollitia ipsam impedit nemo.                                                                                           | 2020-10-02 01:12:00 |     1
        105 |         19 | happyamy2016 | Ut facilis laboriosam minus architecto. Ratione ea ad et cupiditate nisi ut. Est ex facilis facilis. Corrupti ut quaerat et voluptatum corporis possimus et rem. Quisquam eos et qui illo esse earum fuga. Atque omnis ullam.                                                                                                                                                    | 2020-08-13 19:17:00 |     6
        106 |         32 | jessjelly    | Cumque aspernatur voluptas rerum officiis dignissimos. Quod est sunt at laborum soluta saepe consequatur. Maxime amet explicabo quam rem voluptatem sunt voluptatum quasi. Reiciendis reprehenderit animi iste saepe dicta deleniti laboriosam porro.                                                                                                                            | 2020-05-01 03:08:00 |     6
        107 |         29 | jessjelly    | Enim ea consectetur soluta. Voluptatem est inventore cumque quo quia itaque. Labore vel odit accusantium. Error molestias iusto nostrum enim mollitia eius sequi ea.                                                                                                                                                                                                             | 2020-04-01 02:11:00 |    12
        108 |         17 | grumpy19     | Magni similique tempore a quia officiis ipsam ut non. Eum laborum dicta sint illo nihil quia maiores. Reiciendis sit voluptate sed quae iste temporibus.                                                                                                                                                                                                                         | 2020-08-02 09:22:00 |    -1
